CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs
ME,380,Manufacturing Process Princ,2323,Mechanical & Industrial Engr,12,35,7,1,0,0,0,0,0,0,0,0,0,0,0,0,"Subramanian, Arunkumar",55
ME,396,Senior Design I,2323,Mechanical & Industrial Engr,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",28
ME,396,Senior Design I,2323,Mechanical & Industrial Engr,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scott, Michael J",91
ME,396,Senior Design Project,2323,Mechanical & Industrial Engr,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",37
ME,410,Automation & Robotics Applic,2323,Mechanical & Industrial Engr,26,6,0,0,2,0,0,0,1,0,0,0,0,0,0,3,"Bhounsule, Pranav Audhut",38
ME,411,Mechatronics I,2323,Mechanical & Industrial Engr,38,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"Kim, Myunghee",48
ME,419,Compressible Flow Theory,2323,Mechanical & Industrial Engr,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brezinsky, Kenneth",11
ME,429,Internal Combustion Engines,2323,Mechanical & Industrial Engr,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"Manafzadeh, Saeed",13
ME,481,Additive Manufacturing Process,2323,Mechanical & Industrial Engr,15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Pan, Yayue",26
ME,494,ME Math,2323,Mechanical & Industrial Engr,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Yarin, Alexander",15
ME,499,Prof Development Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,"Nicolsen, Brynne E",41
ME,502,Applied Stress Analysis II,2323,Mechanical & Industrial Engr,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Shahbazian-Yassar, Reza",27
ME,562,Biomedical Implants,2437,Biomedical Eng - Engineering,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mathew Thoppil, Mathew",29
ME,595,Mechanical Engineering Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,2,"Hatami Marbini, Hamed",132
ME,599,PhD Thesis Research,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"Sankaranarayanan, Subramanian",10
MENG,404,Math Fundamentals AI Engineers,2284,Engineering Admin,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shulman, Andrew M",13
MENG,407,Innovation Tools and Methods,2284,Engineering Admin,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Hallenbeck, Mark",19
